Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Strategy,Thematic,Children,Party,Abstract,War,Family,Customizable
2011.0,2,6,180,14,26165,7.89,3.7,26710.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,2,4,120,13,3295,8.79,2.7,7209.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2,2,45,14,26748,7.87,3.38,41315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012.0,1,4,120,14,34179,7.84,3.78,52934.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,100,12,20240,7.87,3.19,22601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,1,4,150,13,9705,8.04,4.28,13057.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,4,120,14,6500,8.22,4.02,8963.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007.0,2,4,60,12,46393,7.76,2.98,56264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,1,2,120,13,8111,8.09,3.88,12561.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,2,7,30,10,84371,7.75,2.33,112410.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018.0,1,4,120,14,12970,7.95,3.77,18082.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,2,4,60,12,27893,7.81,2.21,36265.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018.0,2,4,45,10,22327,7.82,1.94,34053.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1876.0,2,4,30,8,12197,7.91,1.25,10561.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014.0,2,4,80,13,32265,7.78,2.86,41676.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,2,6,240,14,18018,7.85,4.04,19494.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,1,4,150,14,5781,8.3,4.63,10719.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,1,4,120,12,6693,8.18,4.57,10212.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,4,60,14,10899,8.02,2.76,16345.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2,5,120,12,45929,7.75,2.46,56283.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,4,120,12,8248,8.07,3.67,15192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2,6,120,12,19003,7.8,3.35,22067.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,4,120,12,9491,8.04,3.5,13144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,120,13,4373,8.43,3.75,8538.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,4,120,14,6134,8.41,3.28,12918.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,2,5,150,12,26796,7.77,3.8,26714.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,1,5,80,12,16886,7.83,2.77,24145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995.0,2,5,120,12,23545,7.75,3.05,22629.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,3,6,240,14,18302,7.84,4.25,20048.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,3,6,180,14,32889,7.74,3.24,35758.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,1,8,240,14,29347,7.81,3.32,43238.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,2,4,90,12,18930,7.76,3.46,21299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,3,5,120,14,15767,7.88,3.28,20763.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,2,4,30,13,30118,7.72,2.42,43570.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,150,12,10954,7.88,3.9,13057.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,120,12,12604,7.85,3.22,15014.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,120,14,8822,8.08,2.57,15716.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,2,30,8,46536,7.66,1.64,68860.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2015.0,2,4,80,12,15990,7.79,2.53,21145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,2,4,120,12,14845,7.77,3.41,14737.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997.0,2,4,90,12,25321,7.7,3.51,28348.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,8,15,14,67688,7.62,1.29,107682.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014.0,2,5,45,13,26421,7.67,2.77,32192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,2,4,120,12,14728,7.76,3.65,17181.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,2,4,120,12,9140,7.89,3.28,11494.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,1,8,120,13,17236,7.73,2.68,32905.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,2,4,30,13,78089,7.62,2.36,101839.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,2,4,45,8,102214,7.61,2.41,155312.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016.0,2,5,45,8,8359,7.92,2.58,14808.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,90,10,13345,7.77,2.59,19380.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,3,8,45,12,11690,7.79,1.83,18890.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
